ул.Дзигунского,9
ул.Горького,4
ул.М.Воронина,13
ул.Р.Люксембург,11
ул.Надеждинцев,11
ул.К.Пищенко,6
ул.Народная,3
ул.Рассветная,2
ул.Корсунская,10
ул.Сиреневая,4
ул.Павла Мирного,2
ул.Клубничная,2
ул.Железнякова,17
ул.В.Дубинина,3
ул.Трудовая,3
ул.Самотечная,2
ул.Пионерская,13
ул.Силантьева,8
ул.Новикова,36
ул.Окружная,3
ул.Карантинная,11
ул.Скалистая,2
ул.Саперная,12
ул.Салтыкова-Щедрина,2
ул.Тургенева,11
ул.Киянченко,8
ул.А.Косарева,8
ул.Адмирала Фадеева,16
ул.Адмирала Юмашева,9
ул.Тараса Шевченко,9
ул.Степаняна,8
ул.Молодых,9
ул.Колобова,11
ул.Готская,7
ул.А.Кесаева,12
ул.Парковая,7
ул.Щитовая,8
ул.Павла Корчагина,18
ул.Челнокова,15
ул.Б.Михайлова,16
ул.Дзержинского,9
ул.Рабочая,11
ул.Корабельная,8
ул.Папанина,12
ул.Адмирала Макарова,17
ул.Суздальская,8
ул.Геннериха,7
ул.Гер.Севастополя,13
ул.Ефремова,4
ул.Гер.Подводников,3
ул.Гавена,3
ул.Н.Островской,4
ул.Павла Дыбенко,8
ул.Гайдара,5
ул.Томская,10
ул.Арсенальная,8
ул.Муромская,15
ул.Синопская,6
ул.Ярославская,8
ул.Черниговская,7
ул.Витебская,6
ул.Пластунская,10
ул.Могилевская,6
ул.Горпищенко,28
ул.Л.Толстого,41
ул.Гидрографическая,11
ул.Токарева,21
ул.Белинского,1
ул.Киевская,17
ул.Хрулёва,10
ул.Дмитрия Загорулько,7
ул.Яблочкова,5
ул.Ангарская,4
ул.Турбинная,4
ул.Зеленогорская,4
ул.Капитанская,29
ул.Ген.Петрова,18
ул.Ленина,12
ул.Партизанская,22
ул.Б.Морская,13
ул.Одесская,22
ул.Новороссийская,16
ул.Кулакова,15
ул.Маяковского,8
ул.Очаковцев,11
ул.Айвазовского,8
ул.Керченская,24
ул.Шмидта,13
ул.Щербака,26
ул.Адмирала Октябрьского,16
ул.Нефедова,20
ул.Мечникова,11
ул.Харьковская,14
ул.Окопная,12
ул.Истомина,16
ул.Н.Музыки,32
ул.Чехова,7
ул.Богданова,13
ул.Серафимовича,13
ул.Циолковского,10
